Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
"$18,950 ",28,"30,993",Petrol,110,1,0,1600,5,1130
"$14,950 ",22,"30,400",Petrol,97,1,0,1400,5,1110
"$22,250 ",22,"30,000",Diesel,110,1,0,2000,5,1275
"$15,950 ",25,"29,719",Petrol,97,1,0,1400,5,1110
"$15,950 ",28,"29,206",Petrol,97,1,0,1400,5,1110
"$12,995 ",32,"29,198",Petrol,97,1,0,1400,5,1060
"$18,950 ",28,"28,817",Petrol,110,1,0,1598,5,1130
"$15,750 ",23,"28,227",Petrol,97,1,0,1400,5,1110
"$19,950 ",28,"28,000",Petrol,110,0,0,1600,5,1130
"$16,950 ",23,"28,000",Petrol,110,1,0,1600,5,1115
"$18,750 ",31,"25,266",Petrol,110,1,0,1600,5,1130
"$18,450 ",27,"23,489",Petrol,110,0,0,1600,5,1115
"$16,895 ",29,"22,575",Petrol,110,1,0,1600,5,1115
"$14,900 ",30,"22,000",Petrol,97,1,0,1400,5,1110
"$18,950 ",25,"20,019",Petrol,110,1,1,1600,5,1180
"$17,250 ",29,"20,000",Petrol,110,1,0,1600,5,1115
"$15,450 ",25,"17,003",Petrol,97,1,0,1400,5,1110
"$17,950 ",31,"16,238",Petrol,110,1,1,1600,5,1180
"$16,650 ",25,"15,414",Petrol,97,1,0,1400,5,1110
"$17,450 ",28,"8,537",Petrol,110,1,0,1600,5,1130
"$14,900 ",30,"7,000",Petrol,97,1,0,1400,5,1100
"$17,950 ",20,"66,966",Diesel,90,1,0,2000,3,1245
"$15,950 ",19,"51,884",Petrol,97,1,0,1400,3,1100
"$21,950 ",19,"50,005",Diesel,110,1,0,2000,3,1265
"$16,450 ",20,"48,110",Petrol,97,1,0,1400,3,1100
"$22,250 ",20,"37,500",Diesel,90,1,0,2000,3,1260
"$19,950 ",16,"34,472",Diesel,90,1,0,1995,3,1260
"$15,950 ",20,"33,329",Petrol,97,1,0,1400,3,1100
"$18,900 ",20,"31,850",Petrol,110,0,0,1600,3,1120
"$19,950 ",17,"30,351",Diesel,90,1,0,1995,3,1260
"$15,950 ",19,"29,435",Petrol,97,1,0,1400,3,1100
"$15,950 ",19,"25,948",Petrol,97,1,0,1400,3,1100
"$18,750 ",11,"24,500",Petrol,110,1,0,1600,3,1120
"$17,450 ",18,"23,902",Petrol,97,1,0,1400,3,1100
"$18,990 ",20,"23,175",Petrol,110,1,0,1600,3,1120
"$16,250 ",19,"19,200",Petrol,97,1,0,1400,3,1100
"$18,500 ",13,"18,000",Petrol,71,0,0,1400,3,1125
"$18,500 ",11,"16,123",Petrol,110,1,0,1600,3,1105
"$19,450 ",11,"14,635",Petrol,110,1,1,1600,3,1155
"$16,950 ",19,"13,748",Petrol,97,1,0,1400,3,1100
"$18,800 ",14,"11,500",Petrol,110,1,0,1600,3,1045
"$17,450 ",17,"10,000",Petrol,97,1,0,1400,3,1100
"$17,950 ",20,"7,187",Petrol,110,1,0,1600,3,1105
"$32,500 ",4,1,Diesel,116,0,0,2000,5,1480
"$31,000 ",4,"4,000",Diesel,116,1,0,2000,5,1480
"$31,275 ",4,"1,500",Diesel,116,1,0,2000,5,1480
"$24,950 ",8,"13,253",Diesel,116,1,0,2000,5,1320
"$24,950 ",8,"13,253",Diesel,116,1,0,2000,5,1320
"$22,950 ",7,"10,000",Diesel,116,1,0,2000,5,1270
"$24,990 ",8,"6,000",Diesel,90,1,0,2000,5,1280
"$21,950 ",8,"10,841",Diesel,90,1,0,2000,5,1270
"$17,900 ",7,1,Petrol,110,1,0,1600,3,1105
"$19,250 ",20,"63,000",Diesel,90,1,0,2000,5,1255
"$22,250 ",17,"57,313",Diesel,110,1,0,2000,5,1275
"$18,950 ",13,"57,037",Petrol,110,0,0,1600,5,1115
"$19,950 ",19,"51,099",Diesel,90,1,0,2000,5,1255
"$16,350 ",14,"40,010",Petrol,110,1,0,1600,5,1115
"$18,950 ",20,"39,115",Petrol,110,1,0,1600,5,1130
"$16,950 ",17,"36,012",Petrol,110,0,0,1600,5,1130
"$21,750 ",16,"36,000",Petrol,110,1,0,1600,5,1130
"$15,950 ",20,"36,000",Petrol,110,1,0,1600,5,1075
"$16,500 ",20,"35,000",Petrol,97,1,0,1400,5,1110
"$17,950 ",17,"33,740",Petrol,97,1,0,1400,5,1135
"$15,850 ",13,"33,477",Petrol,110,1,0,1600,5,1075
"$16,250 ",20,"32,627",Petrol,97,1,0,1400,5,1110
"$15,950 ",20,"29,797",Petrol,97,1,0,1400,5,1110
"$16,250 ",19,"29,441",Petrol,97,1,0,1400,5,1110
"$15,950 ",13,"29,371",Petrol,110,1,0,1600,4,1105
"$16,500 ",20,"29,000",Petrol,97,0,0,1400,5,1110
"$16,500 ",19,"27,821",Petrol,97,0,0,1400,5,1110
"$18,450 ",19,"27,371",Petrol,97,0,0,1400,5,1135
"$16,250 ",13,"25,170",Petrol,110,1,0,1600,5,1105
"$23,000 ",11,"25,000",Diesel,116,1,0,2000,5,1320
"$19,900 ",20,"23,000",Petrol,110,1,0,1600,5,1130
"$16,450 ",20,"22,588",Petrol,97,1,0,1400,5,1110
"$23,950 ",19,"21,684",Petrol,192,1,0,1800,5,1185
"$19,950 ",13,"21,428",Petrol,110,1,0,1600,5,1130
"$18,500 ",16,"20,629",Petrol,110,1,0,1600,4,1090
"$18,950 ",15,"20,270",Petrol,110,1,0,1600,5,1130
"$16,450 ",16,"20,105",Petrol,97,0,0,1400,5,1110
"$20,500 ",20,"20,000",Petrol,110,0,1,1600,5,1165
"$24,500 ",13,"19,988",Petrol,110,1,0,1600,5,1130
"$19,450 ",19,"18,328",Petrol,110,0,0,1600,5,1130
"$20,950 ",14,"17,896",Petrol,110,1,1,1600,4,1150
"$17,200 ",20,"17,300",Petrol,97,1,0,1400,5,1110
"$19,950 ",19,"17,038",Petrol,110,0,0,1600,5,1130
"$18,450 ",10,"13,747",Petrol,97,1,0,1400,5,1110
"$19,500 ",12,"13,634",Petrol,110,1,0,1600,5,1115
"$21,750 ",13,"13,178",Petrol,110,1,0,1600,5,1130
"$16,868 ",15,"13,157",Petrol,97,1,0,1400,4,1085
"$19,500 ",16,"13,000",Petrol,110,1,0,1600,4,1105
"$18,900 ",11,"12,500",Petrol,110,1,0,1600,5,1115
"$19,750 ",17,"11,999",Petrol,110,1,0,1600,5,1130
"$19,750 ",16,"11,754",Petrol,110,0,1,1600,5,1180
"$18,950 ",16,"11,000",Petrol,110,1,0,1600,4,1105
"$20,750 ",17,"10,000",Petrol,110,0,0,1598,5,1105
"$19,600 ",9,"7,650",Petrol,110,1,0,1600,5,1115
"$19,500 ",14,"6,500",Petrol,110,1,0,1600,4,1100
"$17,650 ",11,"6,155",Petrol,97,1,0,1400,5,1110
"$19,950 ",14,"6,000",Petrol,110,0,0,1600,5,1130
"$19,950 ",14,"5,459",Petrol,110,1,0,1600,5,1130
"$20,950 ",14,"5,278",Petrol,110,1,1,1600,4,1150
"$20,500 ",12,"5,000",Petrol,110,1,0,1600,5,1130
"$17,795 ",9,1,Petrol,98,1,0,1400,4,1065
"$18,245 ",9,1,Petrol,110,1,0,1600,5,1075
"$23,750 ",8,"11,000",Petrol,110,1,0,1600,5,1130
"$19,500 ",8,"10,077",Petrol,97,1,0,1400,5,1110
"$18,950 ",8,"10,000",Petrol,97,1,0,1400,5,1110
"$21,950 ",8,"9,788",Petrol,110,1,0,1600,5,1130
"$19,950 ",8,"8,574",Petrol,110,1,0,1600,5,1130
"$18,950 ",8,"7,000",Petrol,110,0,0,1600,5,1115
"$19,950 ",7,"6,250",Petrol,110,1,0,1600,5,1115
"$21,950 ",8,"5,000",Petrol,110,1,0,1600,5,1130
"$22,500 ",6,"3,000",Petrol,110,0,0,1600,5,1130
"$18,500 ",7,"2,000",Petrol,110,0,0,1600,5,1075
"$18,700 ",7,450,Petrol,97,1,0,1400,5,1110
"$21,125 ",2,225,Petrol,97,1,0,1400,5,1110
"$21,500 ",2,15,Petrol,110,1,0,1600,5,1130
"$17,795 ",1,1,Petrol,98,1,0,1400,4,1100
"$18,245 ",1,1,Petrol,110,1,0,1600,5,1075
"$6,950 ",43,"243,000",Diesel,69,0,0,1900,3,1110
"$9,500 ",38,"180,638",Diesel,90,0,0,2000,4,1160
"$11,950 ",40,"179,860",Diesel,90,1,0,2000,5,1205
"$7,750 ",43,"178,858",CNG,110,0,0,1600,3,1084
"$11,950 ",40,"161,000",Diesel,69,1,0,1900,3,1105
"$4,350 ",44,"158,320",Diesel,69,0,0,1800,5,1110
"$4,750 ",44,"131,273",Diesel,69,1,0,1800,5,1110
"$11,750 ",40,"130,062",Diesel,69,1,0,1900,5,1140
"$13,250 ",41,"123,425",Diesel,69,1,0,1900,5,1140
"$11,950 ",37,"118,217",Petrol,110,1,0,1600,5,1075
"$11,900 ",44,"110,000",Diesel,69,1,0,1900,5,1095
"$14,750 ",39,"108,847",Diesel,90,1,0,2000,5,1205
"$9,950 ",42,"105,699",Petrol,97,1,0,1400,3,1025
"$11,950 ",39,"98,823",CNG,110,1,0,1600,5,1119
"$11,495 ",44,"96,829",Petrol,110,1,0,1600,5,1075
"$11,250 ",40,"96,518",Petrol,97,1,0,1400,3,1025
"$10,500 ",42,"92,204",Petrol,110,1,0,1600,5,1075
"$10,450 ",35,"91,456",Diesel,69,1,0,1900,3,1110
"$12,950 ",43,"89,968",Diesel,69,1,0,1900,5,1140
"$11,500 ",44,"89,757",Petrol,110,1,0,1600,3,1045
"$12,500 ",40,"85,389",Petrol,110,1,0,1600,5,1075
"$10,950 ",43,"85,017",Petrol,97,0,0,1400,5,1060
"$11,450 ",41,"84,312",Petrol,110,0,0,1600,5,1080
"$11,950 ",37,"82,743",CNG,110,1,0,1600,5,1121
"$13,250 ",41,"81,106",Diesel,69,1,0,1900,5,1140
"$14,750 ",40,"80,425",Diesel,90,1,0,2000,5,1205
"$11,790 ",34,"78,677",Petrol,110,1,1,1600,5,1105
"$11,450 ",40,"78,425",Petrol,110,1,0,1600,5,1075
"$13,500 ",33,"78,108",Diesel,90,1,0,2000,3,1170
"$10,950 ",33,"77,321",Petrol,110,1,0,1600,5,1075
"$13,500 ",33,"75,699",Diesel,69,0,0,1900,3,1105
"$10,950 ",41,"75,697",Petrol,97,1,0,1400,3,1025
"$10,950 ",44,"74,846",Petrol,97,1,0,1400,3,1025
"$12,950 ",38,"74,319",Petrol,110,1,0,1600,5,1075
"$11,950 ",43,"74,285",Petrol,110,1,0,1600,5,1075
"$12,450 ",44,"74,172",Petrol,110,1,0,1600,5,1615
"$11,950 ",40,"73,042",Petrol,110,1,0,1598,5,1075
"$14,950 ",44,"71,793",CNG,110,1,0,1600,4,1067
"$12,450 ",35,"71,200",Petrol,110,1,0,1600,5,1075
"$12,950 ",38,"67,805",Petrol,110,1,0,1600,5,1075
"$11,950 ",35,"65,988",Petrol,110,1,0,1600,3,1040
"$11,690 ",34,"65,345",Petrol,97,1,0,1400,5,1060
"$12,450 ",42,"64,564",Petrol,110,1,0,1600,5,1080
"$12,750 ",36,"63,459",Petrol,97,1,0,1400,5,1060
"$11,925 ",44,"63,451",Petrol,97,0,0,1400,3,1025
"$12,950 ",33,"62,000",Petrol,110,1,0,1600,5,1075
"$11,950 ",42,"61,300",Petrol,97,1,0,1400,3,1030
"$12,900 ",41,"61,200",Petrol,110,1,0,1600,3,1045
"$11,900 ",41,"61,000",Petrol,110,0,0,1600,5,1075
"$11,650 ",38,"60,829",Petrol,110,1,0,1600,5,1075
"$10,950 ",44,"60,500",Petrol,110,0,0,1600,5,1075
"$13,950 ",35,"59,500",Diesel,69,1,0,1900,3,1110
"$13,950 ",44,"59,000",Petrol,110,0,1,1600,5,1110
"$11,950 ",40,"58,954",Petrol,110,1,0,1600,5,1080
"$10,950 ",38,"58,798",Petrol,110,1,0,1600,5,1075
"$12,450 ",38,"58,363",Petrol,110,1,0,1600,3,1055
"$11,950 ",43,"58,277",Petrol,110,1,0,1600,3,1045
"$13,500 ",33,"57,711",Diesel,90,1,0,2000,3,1165
"$11,690 ",33,"57,269",Petrol,110,1,0,1600,5,1075
"$13,500 ",39,"56,001",Petrol,110,1,0,1600,5,1075
"$11,950 ",42,"55,968",Petrol,110,0,0,1600,3,1050
"$12,900 ",39,"55,678",Petrol,110,1,0,1600,4,1030
"$13,500 ",43,"55,539",Petrol,110,1,0,1600,5,1085
"$11,750 ",42,"55,400",Petrol,110,0,0,1600,5,1075
"$11,750 ",33,"55,350",Petrol,110,0,0,1600,5,1075
"$10,850 ",43,"54,600",Petrol,110,0,0,1600,4,1030
"$11,750 ",43,"53,773",Petrol,110,1,0,1600,5,1075
"$14,950 ",42,"53,719",Petrol,110,1,1,1600,5,1105
"$9,940 ",39,"53,644",Petrol,110,1,0,1600,5,1075
"$12,900 ",42,"53,350",Petrol,110,0,0,1600,5,1075
"$13,500 ",38,"53,000",Petrol,110,1,0,1600,5,1075
"$11,750 ",44,"52,084",Petrol,97,1,0,1400,3,1025
"$11,950 ",44,"52,000",Petrol,97,0,0,1400,3,1025
"$13,450 ",33,"51,945",Petrol,110,1,0,1600,5,1075
"$11,950 ",41,"51,732",Petrol,97,1,0,1400,3,1025
"$12,495 ",39,"50,873",Petrol,110,1,0,1600,5,1075
"$13,500 ",41,"50,856",Petrol,110,0,0,1600,4,1030
"$12,750 ",40,"50,640",Petrol,110,1,0,1600,5,1075
"$12,000 ",39,"50,000",Petrol,97,1,0,1400,5,1060
"$11,950 ",38,"49,500",Petrol,110,1,0,1600,5,1075
"$12,495 ",44,"49,332",Petrol,110,1,0,1600,5,1080
"$12,450 ",34,"49,291",Petrol,110,1,0,1600,3,1040
"$14,750 ",40,"48,952",Diesel,90,1,0,2000,5,1205
"$10,950 ",39,"48,945",Petrol,110,0,0,1600,3,1040
"$13,500 ",33,"48,928",Diesel,69,1,0,1900,3,1105
"$12,950 ",38,"48,197",Petrol,110,1,0,1600,5,1075
"$13,500 ",35,"48,052",Diesel,69,1,0,1900,3,1105
"$13,450 ",34,"48,011",Petrol,110,1,0,1600,4,1030
"$13,500 ",43,"48,000",Petrol,110,1,0,1600,5,1075
"$11,480 ",41,"47,350",Petrol,110,1,0,1600,5,1075
"$13,450 ",39,"46,821",Petrol,97,1,0,1400,5,1060
"$11,495 ",39,"46,694",Petrol,110,0,0,1600,3,1040
"$12,750 ",43,"46,515",Petrol,97,0,0,1400,5,1025
"$14,990 ",38,"46,327",Petrol,110,1,0,1600,3,1055
"$12,950 ",35,"46,304",Petrol,97,1,0,1400,5,1060
"$12,950 ",40,"45,886",Petrol,110,1,0,1600,5,1080
"$12,850 ",39,"45,713",Petrol,97,1,0,1400,5,1085
"$13,950 ",40,"45,600",Petrol,110,1,1,1600,5,1105
"$11,950 ",41,"45,287",Petrol,110,1,0,1600,5,1075
"$12,950 ",39,"45,081",Petrol,110,1,0,1600,5,1075
"$11,700 ",40,"44,830",Petrol,110,1,0,1600,5,1075
"$9,950 ",37,"44,757",Petrol,97,0,0,1400,3,1025
"$11,895 ",44,"44,218",Petrol,97,1,0,1400,5,1060
"$12,950 ",43,"43,632",Petrol,110,1,0,1600,5,1075
"$12,500 ",36,"43,427",Petrol,110,1,0,1600,3,1040
"$13,875 ",39,"43,254",Petrol,110,1,0,1600,5,1075
"$10,500 ",35,"43,000",Petrol,110,0,0,1600,3,1050
"$12,295 ",33,"42,823",Petrol,110,1,0,1600,5,1075
"$13,950 ",42,"42,560",Petrol,110,1,0,1600,5,1080
"$10,950 ",38,"41,754",Petrol,110,0,0,1600,3,1040
"$12,950 ",44,"41,499",CNG,110,1,0,1600,5,1103
"$12,850 ",40,"41,339",Petrol,110,1,0,1600,5,1080
"$13,995 ",35,"41,000",Petrol,110,1,0,1600,5,1075
"$13,750 ",39,"40,000",Petrol,110,1,0,1600,3,1055
"$12,750 ",37,"39,757",Petrol,110,1,0,1600,5,1075
"$12,500 ",41,"39,659",Petrol,110,1,0,1600,3,1045
"$13,950 ",43,"39,650",Petrol,110,0,0,1600,3,1055
"$11,500 ",39,"39,524",Petrol,97,1,0,1398,3,1025
"$13,950 ",44,"39,516",Petrol,97,1,0,1400,5,1060
"$11,895 ",41,"39,439",Petrol,97,0,0,1400,5,1060
"$9,950 ",44,"39,000",Petrol,97,1,0,1400,3,1025
"$13,500 ",42,"38,932",Petrol,110,1,0,1600,3,1040
"$11,450 ",37,"38,812",Petrol,97,0,0,1400,3,1025
"$12,450 ",42,"38,665",Petrol,110,1,0,1600,5,1075
"$12,950 ",40,"38,653",Petrol,110,1,0,1600,5,1080
"$13,995 ",44,"38,461",Petrol,110,1,0,1600,5,1080
"$11,750 ",42,"38,078",Petrol,97,0,0,1400,3,1025
"$11,650 ",39,"37,782",Petrol,97,1,0,1400,5,1060
"$9,950 ",43,"37,576",Petrol,97,0,0,1400,3,1030
"$13,950 ",41,"37,533",Petrol,110,1,0,1600,5,1075
"$12,950 ",44,"37,389",Petrol,110,1,0,1600,5,1080
"$10,950 ",38,"37,320",Petrol,97,1,0,1400,3,1025
"$9,900 ",42,"37,000",Petrol,97,1,0,1400,3,1025
"$11,950 ",44,"37,000",Petrol,110,0,0,1600,4,1075
"$11,990 ",40,"36,566",Petrol,110,0,0,1600,5,1090
"$10,750 ",36,"36,269",Petrol,110,1,0,1600,5,1075
"$13,950 ",37,"36,074",Petrol,110,1,1,1600,5,1075
"$11,250 ",44,"36,066",Petrol,110,1,0,1600,3,1040
"$12,950 ",39,"34,599",Petrol,110,1,0,1600,5,1075
"$11,950 ",41,"34,000",Petrol,110,1,0,1600,5,1075
"$10,950 ",42,"33,623",Petrol,97,1,0,1400,3,1025
"$12,950 ",33,"33,591",Petrol,110,1,0,1600,5,1075
"$12,950 ",35,"33,258",Petrol,110,1,0,1600,5,1075
"$11,695 ",43,"33,113",Petrol,110,1,0,1600,5,1075
"$11,000 ",41,"33,000",Petrol,110,1,1,1600,5,1075
"$13,950 ",35,"32,941",Petrol,110,1,0,1600,5,1080
"$11,950 ",38,"32,781",Petrol,110,0,0,1600,5,1075
"$11,750 ",40,"32,532",Petrol,110,1,0,1600,3,1040
"$12,400 ",34,"32,431",Petrol,97,1,0,1400,5,1060
"$12,500 ",35,"32,000",Petrol,110,0,0,1600,3,1040
"$12,900 ",33,"31,000",Petrol,110,1,0,1600,5,1075
"$12,200 ",41,"30,989",Petrol,110,0,0,1600,3,1045
"$12,750 ",43,"30,742",Petrol,110,1,0,1600,3,1040
"$11,950 ",42,"30,190",Petrol,110,1,0,1600,5,1075
"$11,900 ",41,"29,716",Petrol,116,1,0,1600,5,1075
"$11,950 ",44,"29,716",Petrol,110,1,1,1600,3,1070
"$14,950 ",42,"29,640",Petrol,110,0,0,1600,3,1055
"$11,950 ",41,"29,056",Petrol,97,1,0,1400,5,1060
"$12,950 ",33,"28,715",Petrol,110,1,0,1600,5,1075
"$14,950 ",41,"28,571",Petrol,110,0,0,1600,5,1090
"$13,450 ",40,"28,362",Petrol,110,1,0,1600,3,1040
"$13,750 ",38,"28,150",Petrol,110,1,0,1600,5,1075
"$12,950 ",43,"27,301",Petrol,110,1,0,1600,3,1040
"$12,750 ",33,"27,240",Petrol,110,1,0,1600,5,1075
"$11,895 ",39,"27,170",Petrol,97,1,0,1400,5,1060
"$9,950 ",42,"27,141",Petrol,97,1,0,1400,5,1060
"$12,450 ",38,"26,262",Petrol,110,1,0,1600,5,1075
"$12,500 ",38,"26,000",Petrol,97,1,0,1400,5,1060
"$14,950 ",43,"25,228",Petrol,110,1,0,1600,3,1045
"$13,750 ",39,"25,062",Petrol,110,1,0,1600,5,1080
"$12,695 ",39,"24,723",Petrol,110,1,1,1600,4,1060
"$14,990 ",33,"24,650",Petrol,110,1,0,1600,3,1055
"$12,750 ",43,"24,553",Petrol,110,1,0,1600,5,1080
"$14,350 ",41,"24,475",Petrol,110,1,0,1600,5,1030
"$12,950 ",39,"24,444",Petrol,110,1,0,1600,3,1040
"$11,500 ",35,"24,011",Petrol,97,0,0,1400,3,1025
"$11,950 ",41,"24,000",Petrol,97,1,0,1400,3,1025
"$13,450 ",40,"23,616",Petrol,110,1,0,1600,5,1075
"$12,900 ",38,"22,865",Petrol,110,1,0,1600,5,1075
"$10,500 ",41,"22,780",Petrol,86,1,0,1300,5,1035
"$10,950 ",35,"21,904",Petrol,97,0,0,1400,3,1025
"$11,950 ",41,"21,651",Petrol,97,0,0,1400,3,1025
"$11,450 ",37,"21,500",Petrol,110,1,0,1600,5,1030
"$13,250 ",44,"21,027",Petrol,110,1,0,1600,5,1080
"$10,250 ",39,"18,500",Petrol,110,0,0,1600,4,1030
"$13,995 ",35,"18,000",Petrol,110,1,0,1600,5,1075
"$11,950 ",40,"17,051",Petrol,97,0,0,1400,5,1060
"$13,250 ",33,"16,512",Petrol,97,1,0,1400,5,1085
"$12,950 ",40,"16,325",Petrol,110,1,0,1600,5,1080
"$11,750 ",38,"16,000",Petrol,97,1,0,1400,5,1060
"$11,500 ",39,"12,000",Petrol,110,1,0,1600,5,1075
"$13,500 ",43,"10,000",Petrol,97,1,0,1400,5,1060
"$6,500 ",53,"216,000",Diesel,69,0,0,1900,3,1110
"$6,400 ",51,"198,167",Diesel,69,0,0,1900,4,1095
"$7,000 ",53,"176,000",Diesel,69,0,0,1900,3,1105
"$7,750 ",54,"174,139",Diesel,72,1,0,2000,4,1100
"$8,900 ",45,"174,000",Diesel,69,1,0,1900,5,1095
"$8,500 ",55,"150,000",CNG,110,1,0,1600,3,1075
"$8,950 ",54,"149,329",Diesel,72,1,0,2000,5,1135
"$9,900 ",51,"146,736",Petrol,110,1,0,1600,5,1080
"$10,250 ",53,"143,513",Diesel,69,0,0,1900,5,1140
"$9,250 ",48,"142,130",CNG,110,0,0,1600,5,1119
"$7,750 ",48,"140,700",Diesel,69,1,0,1900,5,1110
"$9,450 ",54,"138,394",Diesel,69,1,0,1900,4,1095
"$7,750 ",55,"137,000",Diesel,72,1,0,2000,5,1135
"$8,250 ",52,"135,258",Diesel,69,1,0,1900,5,1140
"$9,950 ",49,"131,364",Petrol,110,1,0,1600,5,1075
"$4,450 ",56,"129,155",Diesel,69,0,0,1800,5,1110
"$9,950 ",50,"126,110",Petrol,110,0,0,1600,3,1055
"$9,000 ",48,"119,742",Petrol,110,1,0,1600,5,1080
"$9,950 ",53,"117,913",Diesel,69,1,0,1900,5,1110
"$12,450 ",47,"117,430",Diesel,90,1,0,2000,3,1165
"$10,500 ",55,"117,175",Petrol,110,1,0,1600,4,1035
"$10,750 ",54,"115,558",Petrol,110,1,0,1600,4,1035
"$8,950 ",53,"115,113",Petrol,97,1,0,1400,3,1025
"$10,500 ",54,"115,046",Diesel,69,1,0,1900,5,1140
"$5,150 ",56,"113,997",Diesel,72,1,0,2000,5,1135
"$10,950 ",49,"107,859",Petrol,97,0,0,1400,5,1060
"$9,450 ",52,"104,805",Petrol,97,1,0,1400,3,1025
"$9,950 ",54,"103,454",Petrol,110,1,0,1600,5,1075
"$10,950 ",51,"103,018",Diesel,69,0,0,1900,5,1140
"$11,900 ",47,"102,352",Petrol,110,1,0,1600,5,1080
"$9,950 ",50,"102,030",Petrol,97,1,0,1400,5,1060
"$11,950 ",54,"101,352",Petrol,110,0,0,1600,5,1080
